key,population,cases
3537,576272,0
3538,144779,0
3539,57051,0
3540,105303,0
3541,206768,0
3542,115985,0
3543,153598,0
3544,492971,0
5941,388218,0
6001,39469,0
6101,44078,0
6201,37226,0
4708,35057,0
4709,44392,0
4710,92482,0
4711,24670,0
4712,11449,0
4713,2948,0
4831,326645,0
4832,1732180,0
4833,478882,0
4834,1461422,0
4835,463412,0
5911,81413,0
5912,77964,0
5913,324121,0
5914,227344,0
5921,318223,0
5922,679270,0
5923,841575,0
5931,212720,0
5932,673338,0
5933,307708,0
5942,250869,0
5943,105897,0
5951,72680,0
5952,142200,0
5953,70780,0
1307,42440,0
2401,196158,0
2402,276281,0
2403,700684,0
2404,518043,0
2405,513429,0
2406,1856818,0
2407,409421,0
2408,148529,0
2409,87447,0
2410,14642,0
3546,450816,0
3547,128804,0
3549,74771,0
3551,1019693,0
3553,1553076,0
3554,79621,0
3555,144237,0
3556,90540,0
3557,106578,0
3558,179454,0
3560,562142,0
3561,202681,0
3562,154444,0
3563,33389,0
3565,571232,0
3566,304193,0
3568,348836,0
1203,138177,0
1204,444740,0
1301,217155,0
1302,149412,0
1303,179137,0
1304,45390,0
1305,23126,0
1306,70761,0
4604,77380,0
4605,205885,0
4701,60112,0
4702,59451,0
4703,40303,0
4704,320509,0
4705,72593,0
4706,394131,0
4707,33887,0
3570,1200761,0
3575,209238,0
3595,2987513,0
4601,787724,0
4602,142031,0
4603,173021,0
1011,310426,0
1012,85388,0
1013,73072,0
1014,35649,0
1201,185660,0
1202,145940,0
2411,85097,0
2412,425016,0
2414,444734,0
2415,575539,0
2416,1370770,0
2417,13849,0
2418,17069,0
3526,111060,0
3527,152029,0
3530,699641,0
1100,135849,0
2413,438320,0
3533,154672,0
3534,113098,0
3535,185663,0
3536,605475,0
