key,population,cases
01001,88519,0
01002,247943,0
01003,216318,0
01004,79335,0
01051,133447,0
01053,196074,0
01054,165462,0
01055,200584,0
01056,312662,0
01057,128842,0
01058,273022,0
01059,199503,0
01060,274025,0
01061,131613,0
01062,242472,0
02000,1830584,0
03101,248023,0
03102,104548,0
03103,123914,0
03151,175079,0
03153,137563,0
03154,91720,0
03155,133046,0
03157,133368,0
03158,120437,0
03159,328036,0
03241,1152675,0
03251,216012,0
03252,148296,0
03254,276640,0
03255,71144,0
03256,121470,0
03257,157883,0
03351,178764,0
03352,198100,0
03353,251511,0
03354,48357,0
03355,182930,0
03356,113105,0
03357,163377,0
03358,139099,0
03359,201887,0
03360,92744,0
03361,136590,0
03401,77521,0
03402,50607,0
03403,167081,0
03404,164374,0
03405,76316,0
03451,123377,0
03452,189949,0
03453,167925,0
03454,323636,0
03455,98509,0
03456,135859,0
03457,168946,0
03458,129924,0
03459,356140,0
03460,140540,0
03461,89022,0
03462,56731,0
04011,568006,0
04012,113026,0
05111,617280,0
05112,498110,0
05113,583393,0
05114,226699,0
05116,262188,0
05117,171265,0
05119,211422,0
05120,110584,0
05122,158803,0
05124,353590,0
05154,311270,0
05158,485409,0
05162,449408,0
05166,298733,0
05170,460666,0
05314,325490,0
05315,1080394,0
05316,163577,0
05334,554068,0
05358,262889,0
05362,467209,0
05366,192127,0
05370,253106,0
05374,272968,0
05378,283344,0
05382,599056,0
05512,117364,0
05513,260305,0
05515,313559,0
05554,369718,0
05558,219360,0
05562,616824,0
05566,446565,0
05570,277458,0
05711,332552,0
05754,363049,0
05758,251539,0
05762,141565,0
05766,349069,0
05770,311207,0
05774,305362,0
05911,365529,0
05913,586600,0
05914,187730,0
05915,179185,0
05916,156490,0
05954,324670,0
05958,261591,0
05962,413383,0
05966,134808,0
05970,277977,0
05974,301693,0
05978,393934,0
06411,158254,0
06412,746878,0
06413,126658,0
06414,278654,0
06431,268780,0
06432,296048,0
06433,271403,0
06434,235995,0
06435,418208,0
06436,236969,0
06437,96597,0
06438,351692,0
06439,186602,0
06440,305312,0
06531,267056,0
06532,254164,0
06533,171971,0
06534,246165,0
06535,106451,0
06611,200736,0
06631,221783,0
06632,121101,0
06633,236674,0
06634,180754,0
06635,157256,0
06636,101101,0
07111,113844,0
07131,128914,0
07132,128791,0
07133,157549,0
07134,80728,0
07135,61662,0
07137,213554,0
07138,181655,0
07140,102938,0
07141,122381,0
07143,201039,0
07211,110013,0
07231,112134,0
13074,156993,0
13075,237066,0
13076,212522,0
14511,246855,0
14521,340373,0
14522,308153,0
14523,229584,0
14524,319988,0
14612,551072,0
14625,302634,0
14626,256587,0
14627,242862,0
14628,245418,0
07232,98213,0
07233,60705,0
07235,148532,0
07311,48417,0
07312,99684,0
07313,46292,0
07314,168497,0
07315,215110,0
07316,53353,0
07317,40632,0
07318,50931,0
07319,83081,0
07320,34270,0
07331,128519,0
07332,132739,0
07333,75102,0
07334,128477,0
07335,105649,0
07336,70764,0
07337,110622,0
07338,153629,0
07339,209785,0
07340,95474,0
08111,632743,0
08115,389548,0
08116,532447,0
08117,256345,0
08118,542630,0
08119,424878,0
08121,125113,0
08125,340772,0
08126,111392,0
08127,194203,0
08128,132189,0
08135,132006,0
08136,312422,0
08211,54718,0
08212,311919,0
08215,442673,0
08216,230216,0
08221,160601,0
08222,307997,0
08225,143376,0
08226,546745,0
08231,124289,0
08235,157424,0
08236,198369,0
08237,117456,0
08311,229636,0
08315,262405,0
08316,164712,0
08317,425932,0
08325,138858,0
08326,211207,0
