key,population,cases
PN,312533,0
IS,84379,0
BI,175585,0
LC,337380,0
LO,230198,0
RN,339017,0
PO,257716,0
KR,174980,0
VV,160073,0
VB,158349,0
MB,873935,0
FM,173800,0
BT,390011,0
TO,2259523,0
VC,170911,0
NO,369018,0
CN,587098,0
AT,214638,0
AL,421284,0
AO,125666,0
IM,213840,0
SV,276064,0
GE,841180,0
SP,219556,0
VA,890768,0
CO,599204,0
SO,181095,0
MI,3250315,0
BG,1114590,0
BS,1265954,0
PV,545888,0
CR,358955,0
MN,412292,0
BZ,531178,0
TN,541098,0
VR,926497,0
VI,862418,0
BL,202950,0
TV,887806,0
VE,853338,0
PD,937908,0
RO,234937,0
UD,528791,0
GO,139403,0
TS,234493,0
PC,287152,0
PR,451631,0
RE,531891,0
MO,705393,0
BO,1014619,0
FE,345691,0
RA,389456,0
FC,394627,0
PU,358886,0
AN,471228,0
MC,314178,0
AP,207179,0
MS,194878,0
LU,387876,0
PT,292473,0
FI,1011349,0
LI,334832,0
PI,419037,0
AR,342654,0
SI,267197,0
GR,221629,0
PG,656382,0
TR,225633,0
VT,317030,0
RI,155503,0
RM,4342212,0
LT,575254,0
FR,489083,0
CE,922965,0
BN,277018,0
NA,3084890,0
AV,418306,0
SA,1098513,0
AQ,299031,0
TE,308052,0
PE,318909,0
CH,385588,0
CB,221238,0
FG,622183,0
BA,1251994,0
TA,576756,0
BR,392975,0
LE,795134,0
PZ,364960,0
MT,197909,0
CS,705753,0
CZ,358316,0
RC,548009,0
TP,430492,0
PA,1252588,0
ME,626876,0
AG,434870,0
CL,262458,0
EN,164788,0
CT,1107702,0
RG,320893,0
SR,399224,0
SS,491571,0
NU,208550,0
CA,431038,0
OR,157707,0
SU,350725,0
