key,population,cases
Hokkaido,5384000,0
Aomori,1309000,0
Iwate,1280000,0
Miyagi,2334000,0
Akita,1023000,0
Yamagata,1123000,0
Fukushima,1914000,0
Ibaraki,2918000,0
Tochigi,1975000,0
Gunma,1973000,0
Saitama,7261000,0
Chiba,6224000,0
Tokyo,13514000,0
Kanagawa,9127000,0
Niigata,2305000,0
Toyama,1067000,0
Ishikawa,1154000,0
Fukui,787000,0
Yamanashi,835000,0
Nagano,2100000,0
Gifu,2033000,0
Shizuoka,3701000,0
Aichi,7484000,0
Mie,1816000,0
Shiga,1413000,0
Kyoto,2610000,0
Osaka,8839000,0
Hyogo,5537000,0
Nara,1365000,0
Wakayama,964000,0
Tottori,574000,0
Shimane,694000,0
Okayama,1922000,0
Hiroshima,2845000,0
Yamaguchi,1405000,0
Tokushima,756000,0
Kagawa,977000,0
Ehime,1386000,0
Kochi,728000,0
Fukuoka,5103000,0
Saga,833000,0
Nagasaki,1378000,0
Kumamoto,1787000,0
Oita,1167000,0
Miyazaki,1104000,0
Kagoshima,1649000,0
Okinawa,1434000,0
