key,population,cases
GM1719,27150,0
GM0614,14626,0
GM1729,14246,0
GM1931,56048,0
GM0373,29974,0
GM0518,537833,0
GM0180,17003,0
GM0439,80117,0
GM0277,1654,0
GM0523,18051,0
GM0358,31728,0
GM1978,43858,0
GM0575,42859,0
GM0820,23186,0
GM0158,24277,0
GM0307,156286,0
GM0225,18797,0
GM0599,644618,0
GM0840,22572,0
GM0756,29065,0
GM0362,90837,0
GM0824,26140,0
GM0503,103163,0
GM0664,37653,0
GM0118,55662,0
GM1952,60899,0
GM1581,49515,0
GM0383,35772,0
GM0252,16486,0
GM0163,35808,0
GM1904,64336,0
GM0770,19110,0
GM0171,46849,0
GM0397,27286,0
GM1930,84797,0
GM0797,44135,0
GM0866,17247,0
GM0361,108558,0
GM0946,17001,0
GM0965,10516,0
GM0014,231299,0
GM0473,17011,0
GM1598,22738,0
GM0275,43640,0
GM1684,24931,0
GM1690,24110,0
GM1942,57715,0
GM0302,27481,0
GM1783,108603,0
GM0753,29821,0
GM0717,21835,0
GM0632,52199,0
GM0718,44371,0
GM0296,40951,0
GM1901,34463,0
GM0513,73181,0
GM1723,10149,0
GM1674,77032,0
GM1702,11606,0
GM1894,43311,0
GM0175,17813,0
GM1948,80815,0
GM0269,23598,0
GM1706,20440,0
GM0762,32362,0
GM0779,21515,0
GM0629,26211,0
GM1507,42291,0
GM0542,29376,0
GM0202,159267,0
GM0845,28991,0
GM0917,86832,0
GM1621,61601,0
GM0537,65302,0
GM1734,47543,0
GM0344,352866,0
GM1876,36212,0
GM1896,22503,0
GM0530,40049,0
GM0209,25882,0
GM0090,55938,0
GM0758,183873,0
GM0268,176731,0
GM0233,26858,0
GM0484,110986,0
GM1728,20175,0
GM0668,19076,0
GM0589,10201,0
GM0796,154205,0
GM0345,65589,0
GM1724,18491,0
GM1676,33779,0
GM0716,25780,0
GM0342,46194,0
GM0321,49911,0
GM0214,26576,0
GM0453,68348,0
GM0826,55616,0
GM0489,48673,0
GM0957,58209,0
GM0606,77999,0
GM0177,37511,0
GM0798,15334,0
GM1903,25658,0
GM1659,22333,0
GM0221,11148,0
GM0627,28316,0
GM0888,15929,0
GM0416,27992,0
GM0363,862965,0
GM0879,21612,0
GM0274,31300,0
GM0392,161263,0
GM1721,30806,0
GM0352,23762,0
GM0203,57971,0
GM0622,72404,0
GM0907,17071,0
GM0935,121565,0
GM0396,39164,0
GM0867,48240,0
GM1685,15529,0
GM0114,107113,0
GM0230,23086,0
GM0777,43774,0
GM1740,24026,0
GM0703,22678,0
GM1924,49611,0
GM0226,25332,0
GM0546,124899,0
GM0183,21276,0
GM0479,155885,0
GM0034,207904,0
GM0086,29723,0
GM0193,127497,0
GM1709,36961,0
GM0415,11488,0
GM0153,158986,0
GM0399,23464,0
GM0148,28499,0
GM0441,46553,0
GM0983,101603,0
GM0597,46241,0
GM1945,34798,0
GM0865,26396,0
GM1963,86656,0
GM0394,154238,0
GM1969,63031,0
GM0228,115710,0
GM0243,47581,0
GM0351,13166,0
GM1640,35681,0
GM0784,26431,0
GM0766,26051,0
GM0384,29196,0
GM0788,14195,0
GM0882,37591,0
GM0654,22800,0
GM0173,31840,0
GM0579,24426,0
GM0815,10891,0
GM0406,41273,0
GM0851,25054,0
GM1735,34940,0
GM1641,23716,0
GM0743,16710,0
GM1926,54331,0
GM0856,41782,0
GM0569,28625,0
GM0150,99957,0
GM0971,24961,0
GM1900,89710,0
GM0828,91451,0
GM1883,92661,0
GM0556,32768,0
GM0297,28451,0
GM0400,55604,0
GM0141,72849,0
GM0715,54589,0
GM0216,28555,0
GM1714,23386,0
GM0377,23410,0
GM0848,16904,0
GM0398,56742,0
GM0809,23327,0
GM1940,51430,0
GM0772,231642,0
GM0356,63036,0
GM0861,45337,0
GM0613,25271,0
GM0355,63933,0
GM0147,23210,0
GM0376,11200,0
GM0505,118654,0
GM1916,75425,0
GM0080,123107,0
GM0852,17315,0
GM0855,217259,0
GM1658,15964,0
GM0765,12214,0
GM0303,40815,0
GM1705,46475,0
GM0375,41176,0
GM0794,91524,0
GM1774,26350,0
GM0755,10588,0
GM0109,35483,0
GM0310,42825,0
GM0642,44639,0
GM0785,23793,0
GM0050,22309,0
GM0200,162445,0
GM0757,30747,0
GM0928,45642,0
GM0285,24417,0
GM1771,39595,0
GM0353,34160,0
GM0281,41978,0
GM0995,77893,0
