key,population,cases
Alabama,4903185,0
Alaska,731545,0
Arizona,7278717,0
Arkansas,3017804,0
California,39512223,0
Colorado,5758736,0
Connecticut,3565287,0
Delaware,973764,0
District of Columbia,705749,0
Florida,21477737,0
Georgia,10617423,0
Hawaii,1415872,0
Idaho,1787065,0
Illinois,12671821,0
Indiana,6732219,0
Iowa,3155070,0
Kansas,2913314,0
Kentucky,4467673,0
Louisiana,4648794,0
Maine,1344212,0
Maryland,6045680,0
Massachusetts,6892503,0
Michigan,9986857,0
Minnesota,5639632,0
Mississippi,2976149,0
Missouri,6137428,0
Montana,1068778,0
Nebraska,1934408,0
Nevada,3080156,0
New Hampshire,1359711,0
New Jersey,8882190,0
New Mexico,2096829,0
New York,19453561,0
North Carolina,10488084,0
North Dakota,762062,0
Ohio,11689100,0
Oklahoma,3956971,0
Oregon,4217737,0
Pennsylvania,12801989,0
Rhode Island,1059361,0
South Carolina,5148714,0
South Dakota,884659,0
Tennessee,6829174,0
Texas,28995881,0
Utah,3205958,0
Vermont,623989,0
Virginia,8535519,0
Washington,7614893,0
West Virginia,1792147,0
Wisconsin,5822434,0
Wyoming,578759,0
Guam,167772,0
Puerto Rico,3193694,0
Virgin Islands,106977,0
